time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,mag_x,mag_y,mag_z
18:27.1,0.018921398,0.088652482,9.96642886,0.123107984,0,0.062217494,-0.067137809,6.163701068,6.262295082
18:27.2,-0.058098459,0.107565012,9.927770203,0.200661984,0.060539467,0.04666312,-0.070671378,6.167259786,6.25
18:27.2,-0.019304843,0.069739953,9.947380382,0.169120601,-0.015134867,0.062217494,-0.074204947,6.163701068,6.245901639
18:27.2,-0.009984689,0.098108747,9.97643329,-0.046777004,-0.060539467,0.077771867,-0.077738516,6.167259786,6.258196721
18:27.2,0.009412119,0.079196217,9.956808582,0.124025249,0.090809201,0.04666312,-0.088339223,6.174377224,6.254098361
18:27.2,-0.010079252,0.107565012,9.976339673,0.108330996,0.060539467,0.015554373,-0.070671378,6.177935943,6.254098361
18:27.2,-0.019777656,0.117021277,9.976342095,0.183591834,-0.105944068,-0.062217494,-0.060070671,6.170818505,6.254098361
18:27.2,-0.04821093,0.079196217,10.01624441,0.075872348,-0.105944068,0.124434987,-0.074204947,6.167259786,6.25
18:27.2,-0.009701001,0.069739953,9.976714141,0.093248253,0.090809201,0.031108747,-0.088339223,6.170818505,6.245901639
18:27.2,-0.029192372,0.098108747,9.917765772,0.107872364,0.015134867,0.124434987,-0.077738516,6.163701068,6.25
18:27.2,0.037939956,0.107565012,9.916999886,-0.031235628,-0.0454046,-0.031108747,-0.067137809,6.163701068,6.245901639
18:27.2,-0.029003247,0.079196217,9.917953006,0.121884965,-0.121078934,0.139989361,-0.067137809,6.163701068,6.254098361
18:27.3,-0.038796214,0.098108747,9.937481675,0.062318379,0.075674334,0.062217494,-0.091872792,6.174377224,6.245901639
18:27.3,-0.038985339,0.117021277,9.947104374,-0.046318372,-0.015134867,0.217761228,-0.067137809,6.167259786,6.258196721
18:27.3,-0.019966781,0.135933806,9.927105198,0.028942467,-0.181618402,0.124434987,-0.074204947,6.170818505,6.245901639
18:27.3,-0.057720209,0.069739953,9.928144671,0.246827478,0.060539467,0.077771867,-0.067137809,6.174377224,6.241803279
18:27.3,-0.009795564,0.079196217,9.937380794,0.106802221,-0.090809201,-0.062217494,-0.077738516,6.174377224,6.258196721
18:27.3,-0.039079901,0.126477541,9.966630622,0.307617083,-0.015134867,0.124434987,-0.070671378,6.163701068,6.25
18:27.3,-0.029854311,0.1643026,9.926920385,-0.091260846,0.105944068,0.108880614,-0.074204947,6.167259786,6.25
18:27.3,-0.048683743,0.126477541,9.898057133,0.030471241,-0.030269734,-0.155543734,-0.077738516,6.174377224,6.25
18:27.3,-0.038796214,0.098108747,9.976721406,0.062471257,0.090809201,0.031108747,-0.067137809,6.163701068,6.254098361
18:27.3,-0.009701001,0.069739953,9.966904209,-0.000152877,-0.015134867,0.139989361,-0.074204947,6.167259786,6.25
18:27.4,-0.029286935,0.107565012,9.93729202,-0.138955115,-0.0454046,-0.124434987,-0.074204947,6.167259786,6.25
18:27.4,-0.058193022,0.117021277,9.976726248,0.046471249,0.030269734,0.186652481,-0.074204947,6.174377224,6.258196721
18:27.4,-0.038796214,0.098108747,9.927671743,-0.091719478,0.060539467,0.233315601,-0.074204947,6.167259786,6.254098361
18:27.4,-0.048683743,0.126477541,9.956916728,0.123566616,0.0454046,0.279978722,-0.074204947,6.170818505,6.254098361
